,mean,range_min,range_max,avg_diff_per_class,areas_km²,percentages,date,type_uh
6.0,4.56,4.09,5.24,1.0399999999999996,69.9354,8.75302164318815,2019-02-26,uh_wavg
7.0,5.89,5.24,7.12,1.33,30.0546,3.7615937604898613,2019-02-26,uh_wavg
8.0,8.41,7.12,18.58,2.5200000000000005,5.1894,0.6494984015986267,2019-02-26,uh_wavg
1.0,2.53,-6.46,3.9,,38.1168,4.718176096074685,2019-05-01,uh_wavg
2.0,5.38,3.9,6.49,2.85,113.71589999999999,14.075988569964403,2019-05-01,uh_wavg
3.0,7.59,6.49,8.65,2.21,141.0984,17.46545087925493,2019-05-01,uh_wavg
4.0,9.65,8.65,10.65,2.0600000000000005,137.1321,16.97449408724036,2019-05-01,uh_wavg
5.0,11.72,10.65,12.77,2.0700000000000003,155.5335,19.252257320625866,2019-05-01,uh_wavg
6.0,13.89,12.77,15.4,2.17,142.3917,17.625538219877786,2019-05-01,uh_wavg
7.0,16.79,15.4,18.83,2.8999999999999986,66.1581,8.18918602772842,2019-05-01,uh_wavg
8.0,20.68,18.84,38.66,3.8900000000000006,13.725,1.6989087992335412,2019-05-01,uh_wavg
1.0,-2.99,-10.07,-0.68,,10.1286,1.1760009697253422,2019-06-27,uh_wavg
2.0,1.72,-0.68,2.95,4.71,99.4122,11.54244847289158,2019-06-27,uh_wavg
3.0,4.09,2.95,5.04,2.37,144.8982,16.823689721329362,2019-06-27,uh_wavg
4.0,5.93,5.04,6.76,1.8399999999999999,170.9325,19.84645318776307,2019-06-27,uh_wavg
5.0,7.64,6.77,8.54,1.71,175.1049,20.330897873709993,2019-06-27,uh_wavg
6.0,9.42,8.54,10.43,1.7800000000000002,138.7152,16.105800378694468,2019-06-27,uh_wavg
7.0,11.37,10.43,12.72,1.9499999999999993,89.3421,10.373239760410964,2019-06-27,uh_wavg
8.0,14.25,12.72,28.56,2.880000000000001,32.741099999999996,3.8014696354752275,2019-06-27,uh_wavg
1.0,1.96,-5.81,3.63,,64.48049999999999,8.080086975547148,2019-07-04,uh_wavg
2.0,5.01,3.63,6.24,3.05,87.3954,10.951565717739989,2019-07-04,uh_wavg
3.0,7.48,6.24,8.63,2.4700000000000006,107.1639,13.428767342666964,2019-07-04,uh_wavg
4.0,9.82,8.63,10.96,2.34,131.0409,16.42080736585443,2019-07-04,uh_wavg
5.0,12.04,10.96,13.05,2.219999999999999,145.7685,18.26633103488721,2019-07-04,uh_wavg
6.0,14.06,13.05,15.21,2.0200000000000014,148.5369,18.613240763923194,2019-07-04,uh_wavg
7.0,16.44,15.21,18.3,2.380000000000001,84.708,10.614806143324696,2019-07-04,uh_wavg
8.0,20.22,18.3,38.08,3.7799999999999976,28.923299999999998,3.624394656056372,2019-07-04,uh_wavg
1.0,4.2,-0.92,5.36,,55.0134,6.3867779924373425,2019-07-29,uh_wavg
2.0,6.59,5.36,7.74,2.3899999999999997,81.81269999999999,9.498041420124524,2019-07-29,uh_wavg
3.0,8.98,7.74,10.06,2.3900000000000006,101.7702,11.815006410182734,2019-07-29,uh_wavg
4.0,11.14,10.06,12.08,2.16,136.7217,15.872699099648823,2019-07-29,uh_wavg
5.0,13.05,12.08,13.91,1.9100000000000001,183.1131,21.25850642219856,2019-07-29,uh_wavg
6.0,14.87,13.91,16.06,1.8199999999999985,200.5578,23.283748018694535,2019-07-29,uh_wavg
7.0,17.26,16.06,19.32,2.3900000000000023,87.1074,10.112729358636924,2019-07-29,uh_wavg
8.0,21.31,19.32,37.43,4.049999999999997,15.2676,1.7724912780765478,2019-07-29,uh_wavg
1.0,5.97,1.59,7.42,,64.476,7.48533025728472,2019-08-14,uh_wavg
2.0,8.72,7.42,9.84,2.750000000000001,79.22789999999999,9.197949579550963,2019-08-14,uh_wavg
3.0,10.89,9.84,11.82,2.17,94.3785,10.95685591052711,2019-08-14,uh_wavg
4.0,12.79,11.82,13.63,1.8999999999999986,125.1306,14.527015731313844,2019-08-14,uh_wavg
5.0,14.55,13.63,15.38,1.7600000000000016,170.4951,19.793599645585708,2019-08-14,uh_wavg
6.0,16.31,15.38,17.38,1.759999999999998,189.46349999999998,21.995732818429545,2019-08-14,uh_wavg
7.0,18.53,17.38,20.29,2.2200000000000024,110.8053,12.863922463513719,2019-08-14,uh_wavg
8.0,22.03,20.29,39.99,3.5,27.3879,3.1795935937944066,2019-08-14,uh_wavg
1.0,6.12,0.1,7.31,,45.0801,5.233593886321438,2019-08-30,uh_wavg
2.0,8.55,7.31,9.65,2.4300000000000006,78.8607,9.155367388072099,2019-08-30,uh_wavg
3.0,10.87,9.65,11.88,2.3199999999999985,129.7449,15.0627907973005,2019-08-30,uh_wavg
4.0,12.87,11.88,13.74,2.0,166.1859,19.293424598277863,2019-08-30,uh_wavg
5.0,14.56,13.74,15.38,1.6900000000000013,175.8429,20.414558228420788,2019-08-30,uh_wavg
6.0,16.29,15.38,17.47,1.7299999999999986,150.8526,17.51329844201085,2019-08-30,uh_wavg
7.0,18.64,17.47,20.23,2.3500000000000014,85.8618,9.968163148452511,2019-08-30,uh_wavg
8.0,21.83,20.23,38.09,3.1899999999999977,28.9314,3.358803511143943,2019-08-30,uh_wavg
1.0,-0.45,-13.8,-0.12,,48.4452,5.626888809674887,2020-02-06,uh_wavg
2.0,0.25,-0.12,0.52,0.7,139.77089999999998,16.234328955772455,2020-02-06,uh_wavg
3.0,0.8,0.52,1.06,0.55,204.7428,23.78078674835698,2020-02-06,uh_wavg
4.0,1.31,1.06,1.59,0.51,202.26059999999998,23.492480303066735,2020-02-06,uh_wavg
5.0,1.85,1.59,2.17,0.54,143.6877,16.689263564149233,2020-02-06,uh_wavg
6.0,2.48,2.17,2.91,0.6299999999999999,78.9624,9.171448253801664,2020-02-06,uh_wavg
7.0,3.33,2.91,4.03,0.8500000000000001,35.199,4.088348468202141,2020-02-06,uh_wavg
8.0,4.8,4.03,11.07,1.4699999999999998,7.8903,0.9164548969759184,2020-02-06,uh_wavg
